Title,PoliticalParty,Description,Cost,Location,Date,AnnouncedBy,Portfolio,AnnouncementType,WhoAnnouncedType,CommitmentType,CriticalDate,ThemeType,PackageType,OfficialCosting,CostingRequired,Status,Id
Upgrade of the Bentley Health Service,Australian Labor Party,"Labor has committed $10.9 million for a major redevelopment of the Bentley Health Service.<div><br></div><div>The redevelopment will deliver:</div><div><ul><li>upgrades to maternity services to reduce wait times, improve pain management services and increase patient privacy</li><li>major improvements to mental health services to improve security and amenity for patients, including outpatients</li><li>upgraded facilities for rehabilitation patients</li><li>better patient and visitor access through renovations of the entrance and waiting areas</li><li>better facilities for doctors, nurses and other hospital staff, including upgrades to the staff dining room.</li></ul></div>",$10.9 million,,8/11/2018,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,142
Health Training Boost for North West Tasmania,Australian Labor Party,"Labor has committed $800,000 for a new interactive mini-hospital ward at Devonport TAFE. It will provide more vocational opportunities for young Tasmanians and will support the implementation of the National Disability Insurance Scheme and aged care reforms.","$800,000",,10/07/2018,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,143
20 New Medicare Subsidised MRI Licences,Australian Labor Party,"<div>Labor has committed $80 million to boost the number of eligible MRI machines and approve 20 new licences – meaning 500,000 more scans funded by Medicare over the course of a first Labor budget.<br></div><div><br></div><div>New licences will be granted to:</div><div><div><ol><li>Prince Charles Hospital, Brisbane</li><li>Werribee Mercy Hospital, VIC</li><li>Mount Barker District Soldiers' Memorial Hospital, SA</li><li>Moreton Bay region, QLD</li><li>Kalgoorlie Health Campus, WA</li><li>St John of God Midland Hospital, Perth</li><li>Queen Elizabeth Hospital, Adelaide (currently has a partial licence)</li><li>Mt Druitt, NSW</li><li>Katoomba, NSW</li><li>Bateman's Bay, NSW</li><li>Redcliffe Hospital, QLD</li><li>Gladstone, QLD</li><li>Monash Children's Hospital, Melbourne</li><li>Fairfield Hospital, NSW</li></ol></div></div>",$80 million,,10/05/2018,,Health,Press Release,Leader,National,1,,,,,With Policy Area,144
New Helipad - Maclean District Hospital,Australian Labor Party,"Labor has committed to&nbsp;<span style=""font-size:12.0pt;line-height:107%;
font-family:&quot;Helvetica&quot;,sans-serif;mso-fareast-font-family:&quot;Times New Roman&quot;;
color:#535353;mso-ansi-language:EN-AU;mso-fareast-language:EN-AU;mso-bidi-language:
AR-SA"">provide faster access to care for critically ill people in the Clarence
Valley by building a new helipad at Maclean District Hospital.</span>",,,26/09/2018,,Health,Press Release,Relevant Spokesperson,Electorate,5,,,,,With Policy Area,145
Water Security for Townsville,Australian Labor Party,Labor has committed $100 million to fix Townsville's water security by fully funding Stage 2 of the Water Security Taskforce's report and building it concurrently with Stage 1.<div><br></div>,$100 million,,5/11/2018,,Agriculture and Water Resources,Press Release,Leader,Electorate,5,,,,,With Policy Area,146
Hydro Electric Power Station on the Burdekin Dam,Australian Labor Party,"Labor has committed $200 million to build a hydro electric power station on the Burdekin Dam, Townsville, to put downward pressure on power bills, create 150 local jobs and generate enough electricity for 30,000 homes.",$200 million ,,5/11/2018,,"Infrastructure, Regional Development and Cities",Press Release,Leader,Electorate,5,,,,,With Policy Area,147
Establish a COAG Economic Reform Council,Australian Labor Party,"Labor has committed $2 million over the forward estimates to establish a new and independent COAG Economic Reform Council to examine, track and report to COAG on long-term reform priorities.<div><br></div><div>The Council will:</div><div><ul><li>Collate and collect consistent and comparable data from the states, territories&nbsp; and the Commonwealth to inform policy co-design and analysis, helping to track progress and performance.<br></li><li>Support the development of agendas for two formal COAG meetings a year and the regular Council on Federal Financial Relations meetings.<br></li></ul></div><div><br></div>",$2 million over the forward estimates,,11/10/2018,,Prime Minister and Cabinet,Press Release,Leader,National,5,,,,,With Policy Area,148
Plan to Improve Women's Super Security - Overview,Australian Labor Party,"Labor has committed $400 million to help women to plan for a secure financial future, by strengthening Australia's superannuation system and boosting women's superannuation balances.<div><br></div><div>Labor will:<br><div><ul><li>Ensure recipients of Commonwealth Paid Parental Leave and Dad and Partner Pay payments continue to receive super contributions.<br></li><li>Phase out the $450 minimum monthly income threshold for eligibility for the superannuation guarantee.<br></li><li>Make it easier for employers to make extra payments into a woman's superannuation fund.<br></li><li>Improve transparency by committing to consider and publish the impact that any future changes to super would have on women.<br></li></ul><div><br></div></div></div>",$400 million,,19/09/2018,,Prime Minister and Cabinet,Press Release,Leader,National,5,,,,,,149
New Rugby League Hub in Melbourne's North,Australian Labor Party,Labor has committed $1.1 million to support the growth of grassroots rugby league in Victoria and boost female participation in the sport by contributing to the Victorian Rugby League State Community Centre in Broadmeadows.<div><br></div><div>The investment will contribute to:</div><div><ul><li>building up to three fields<br></li><li>change facilities for male and female players and officials<br></li><li>medical and massage rooms<br></li><li>gymnasium<br></li><li>administration space and meeting rooms<br></li><li>multi-purpose community space.<br></li></ul></div><div><br></div>,$1.1 million,,17/09/2018,,Health,Press Release,Leader,State,5,,,,,With Policy Area,150
Better Heart Care in Central Queensland,Australian Labor Party,Labor has committed $11.1 million to deliver a Hybrid Cardiac Catheterisation Theatre at Rockhampton Hospital.,$11.1 million,,4/09/2018,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,151
Increasing Cardiac Capacity at Gladstone Hospital,Australian Labor Party,"Labor has committed $380,000 to increase cardiac capacity at Gladstone Hospital.","$380,000",,4/09/2018,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,152
Permanent Gas Export Control Trigger,Australian Labor Party,"Labor has committed to introduce a permanent gas export control trigger, that can be pulled when gas prices are too high. The trigger will be overseen by a Domestic Gas Review Board.",,,3/09/2018,,Environment and Energy,Press Release,Leader,National,5,,,,,With Policy Area,153
Boosting Gas Supply for Domestic Use,Australian Labor Party,"Labor has committed to introduce a National Interest Test that applies to all new Liquefied Natural Gas export facilities or significant expansions of existing facilities.<div><br></div><div>The 'use it or lose it' provisions would also be strengthened, encouraging companies to develop gas reserves.</div>",,,3/09/2018,,Environment and Energy,Press Release,Leader,National,5,,,,,With Policy Area,154
New Powers for the ACCC to Monitor Gas Prices,Australian Labor Party,Labor has committed to giving the Australian Competition and Consumer Commission new powers to monitor and crack down on anti-competitive behaviour in the gas market.,,,3/09/2018,,Environment and Energy,Press Release,Leader,National,5,,,,,With Policy Area,155
